shift,teacher,subject,class,per_week_first,per_week_second
2,82,65,30,2,0
2,82,65,32,2,0
2,84,65,27,2,0
2,84,65,28,2,0
2,84,65,30,2,0
2,84,65,31,2,0
2,84,65,32,2,0
2,86,66,26,2,
2,86,66,27,2,
2,86,66,31,2,
2,87,66,24,2,
2,87,66,25,2,
2,87,66,28,2,
2,87,66,29,2,
2,87,66,30,2,
2,87,66,32,2,
2,88,67,25,2,
2,89,67,21,3,
2,89,67,26,3,
2,89,67,28,3,
2,89,67,29,3,
2,89,67,31,3,
2,90,67,17,3,
2,91,67,27,3,
2,91,67,32,3,
2,92,67,19,3,
2,93,67,30,3,
1,93,67,16,3,
2,93,67,22,3,
2,93,67,23,3,
2,94,67,24,3,
2,94,67,20,3,
1,96,88,1,2,
1,96,88,0,2,
1,96,88,6,3,
1,95,88,2,3,
1,95,88,3,3,
1,95,88,4,3,
1,95,64,0,3,
1,95,64,1,3,
1,95,64,2,3,
1,28,52,13,2,2
1,28,52,14,2,2
1,28,52,15,2,2
1,43,47,10,2,2
1,43,47,10,3,
1,44,47,11,2,2
1,44,47,11,3,
1,48,47,12,2,2
1,48,47,12,3,
1,0,40,10,2,2
1,1,37,9,1,
1,1,38,9,1,
1,1,0,0,2,
1,1,83,0,2,
1,1,4,0,2,
1,3,75,5,2,0
1,3,24,5,2,
1,3,82,1,1,
1,3,10,1,2,
1,3,81,1,2,
1,3,80,1,2,
1,4,50,13,3,3
1,4,51,13,1,
1,4,25,5,2,2
1,4,26,5,1,
1,4,27,6,2,2
1,4,28,6,2,
1,5,75,6,2,0
1,5,24,6,2,
1,6,16,2,2,2
1,6,17,2,2,
1,6,15,2,3,3
1,6,15,3,3,3
1,7,27,5,2,2
1,7,27,7,2,2
1,7,28,5,2,
1,7,28,7,2,
1,7,29,6,3,3
1,7,30,6,2,
1,8,72,10,2,2
1,8,45,10,2,
1,9,72,12,2,2
1,9,45,12,2,
1,9,79,0,2,
1,9,3,0,2,
1,10,16,3,2,2
1,10,16,4,2,2
1,10,17,3,2,
1,10,17,4,2,
1,10,71,2,3,3
1,10,18,2,1,
1,11,54,14,2,2
1,11,55,14,2,
1,12,56,13,3,3
1,12,57,13,2,
1,12,70,4,2,2
1,12,33,4,1,
1,13,78,1,1,
1,13,77,1,2,
1,13,76,1,2,
1,13,12,1,2,
1,15,29,5,3,3
1,15,29,7,3,3
1,15,30,5,2,
1,15,30,7,2,
1,16,70,8,2,
1,16,33,8,1,
1,17,56,14,3,3
1,17,57,14,2,
1,18,19,2,2,2
1,18,19,3,2,2
1,18,19,4,2,2
1,18,20,2,1,
1,18,20,3,1,
1,18,20,4,1,
1,18,75,7,2,0
1,18,24,7,2,
1,20,25,6,2,2
1,20,25,7,2,2
1,20,26,6,1,
1,20,26,7,1,
1,21,46,10,2,
1,21,54,15,2,2
1,21,55,15,2,
1,22,56,15,3,3
1,22,57,15,2,
1,24,74,0,2,
1,24,6,0,1,
1,25,50,15,3,3
1,25,51,15,1,
1,26,72,11,2,2
1,26,45,11,2,
1,27,70,3,2,2
1,27,33,3,1,
1,29,15,4,3,3
1,30,41,5,2,2
1,30,41,6,2,2
1,30,41,7,2,2
1,31,71,3,3,3
1,31,71,4,3,3
1,31,18,3,1,
1,31,18,4,1,
1,32,40,12,2,2
1,34,9,1,3,
1,34,2,0,3,
1,34,50,14,3,3
1,34,51,14,1,
1,35,48,15,2,0
1,35,49,15,1,
1,36,46,12,2,
1,36,54,13,2,2
1,36,55,13,2,
1,37,34,8,3,
1,37,43,9,2,
1,37,44,9,2,
1,37,39,9,4,
1,38,70,2,2,2
1,38,33,2,1,
1,38,35,9,1,
1,38,36,9,1,
1,39,46,11,2,
1,39,68,8,2,
1,39,69,8,2,
1,39,43,11,2,2
1,39,43,12,2,2
1,39,44,11,2,
1,39,44,12,2,
1,40,43,10,2,2
1,40,44,10,2,
1,51,47,8,5,
1,51,47,9,5,
1,55,58,13,3,
1,53,58,1,3,
1,53,58,2,3,
1,55,58,8,3,
1,55,58,9,3,
1,59,58,12,3,
1,56,58,4,3,
1,56,58,7,3,
1,57,58,11,3,
1,57,58,14,3,
1,58,58,0,3,
1,59,58,3,3,
1,59,58,5,3,
1,59,58,6,3,
1,59,58,10,3,
1,59,58,15,3,
1,60,59,5,2,
1,61,59,8,2,
1,61,59,12,2,
1,61,59,14,2,
1,61,59,15,2,
1,62,59,1,2,
1,62,59,2,2,
1,62,59,3,2,
1,62,59,4,2,
1,62,59,9,2,
1,62,59,10,2,
1,62,59,11,2,
1,62,59,13,2,
1,64,59,0,2,
1,64,59,6,2,
1,64,59,7,2,
1,65,31,8,2,
